"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0.134	10.98632813	34.1796875	-124.5117188	-2.197265625	-0.3662109375	4.943847656	0	330.2819824	0.01831054688	-0.1678466797	0.9521484375
0.136	10.98632813	20.14160156	-123.2910156	-1.647949219	-0.5493164063	4.577636719	0	330.2819824	0.07629394531	-0.1159667969	1.022338867
0.138	-6.103515625	-6.103515625	-115.9667969	-1.46484375	-0.3662109375	2.746582031	0	330.2819824	0.2227783203	0.1861572266	1.077270508
0.14	-26.85546875	-14.03808594	-101.3183594	-3.112792969	0	0.1831054688	0	330.2819824	0.3234863281	0.29296875	1.065063477
0.142	-42.72460938	-6.103515625	-84.22851563	-4.760742188	0	-1.46484375	0	330.2819824	0.3997802734	0.08544921875	0.9399414063
0.144	-48.828125	-1.220703125	-75.68359375	-5.126953125	-0.1831054688	-2.746582031	0	330.2819824	0.4211425781	-0.05187988281	0.7141113281
0.146	-45.16601563	1.831054688	-78.125	-4.760742188	0	-3.295898438	0	330.2819824	0.439453125	-0.1068115234	0.5279541016
0.148	-47.60742188	0	-90.33203125	-4.211425781	-0.1831054688	-3.845214844	0	330.2819824	0.3875732422	-0.01525878906	0.5554199219
0.15	-43.9453125	0	-108.6425781	-3.845214844	-0.1831054688	-3.479003906	0	330.2819824	0.3051757813	0.1037597656	0.8636474609
0.152	-31.73828125	9.155273438	-125.7324219	-4.028320313	-0.1831054688	-2.197265625	0	330.2819824	0.244140625	0.09155273438	1.235961914
0.154	-15.86914063	25.02441406	-139.1601563	-3.479003906	-0.1831054688	-0.9155273438	0	330.2819824	0.2166748047	-0.01831054688	1.434326172
0.156	-8.544921875	25.63476563	-139.1601563	-3.845214844	-0.1831054688	0.1831054688	0	330.2819824	0.2258300781	-0.009155273438	1.354980469
0.158	-12.20703125	28.68652344	-129.3945313	-4.028320313	-0.1831054688	0.5493164063	0	330.2819824	0.1831054688	-0.02136230469	1.123046875
0.16	-19.53125	37.23144531	-114.7460938	-4.39453125	0	0.3662109375	0	330.2819824	0.1373291016	-0.1312255859	0.9063720703
0.162	-31.73828125	41.50390625	-101.3183594	-5.310058594	0	-0.3662109375	0	330.2819824	0.1861572266	-0.2655029297	0.8270263672
0.164	-36.62109375	31.12792969	-93.99414063	-5.676269531	-0.1831054688	-0.3662109375	0	330.2819824	0.3570556641	-0.1800537109	0.8728027344
