"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0.18	-155.0292969	190.4296875	718.9941406	-71.59423828	-65.00244141	2.014160156	-3.41796875	67.96142578	0.1739501953	-0.1403808594	1.095581055
0.182	-134.2773438	177.6123047	722.65625	-73.60839844	-65.91796875	0.9155273438	-3.173828125	67.93945313	0.146484375	-0.08544921875	1.110839844
0.184	-113.5253906	169.6777344	728.7597656	-75.43945313	-66.83349609	-0.3662109375	-3.234863281	67.89550781	0.01220703125	-0.02136230469	1.190185547
0.186	-100.0976563	168.4570313	727.5390625	-75.80566406	-67.93212891	-2.746582031	-3.234863281	67.84057617	-0.3814697266	-0.03967285156	1.190185547
0.188	-101.3183594	167.2363281	721.4355469	-74.70703125	-69.03076172	-5.859375	-3.234863281	67.8515625	-0.8026123047	0.03662109375	1.138305664
0.19	-103.7597656	166.6259766	714.1113281	-72.69287109	-69.94628906	-8.422851563	-3.234863281	67.91748047	-0.9796142578	0.1220703125	1.138305664
0.192	-113.5253906	171.5087891	709.2285156	-71.59423828	-70.67871094	-9.887695313	-3.234863281	67.98339844	-0.7904052734	0.1525878906	1.208496094
0.194	-136.71875	181.2744141	711.6699219	-71.77734375	-71.04492188	-10.80322266	-3.173828125	68.06030273	-0.4699707031	0.1068115234	1.29699707
0.196	-164.7949219	191.6503906	715.3320313	-71.77734375	-71.04492188	-10.43701172	-3.509521484	68.1262207	-0.2777099609	0.003051757813	1.293945313
0.198	-189.2089844	197.1435547	717.7734375	-71.41113281	-70.86181641	-8.605957031	-2.075195313	68.203125	-0.1495361328	-0.09765625	1.132202148
0.2	-205.078125	195.3125	725.0976563	-71.04492188	-70.12939453	-5.126953125	2.471923828	68.29101563	-0.048828125	-0.1159667969	0.927734375
0.202	-216.0644531	188.5986328	736.0839844	-70.86181641	-68.84765625	-0.732421875	2.777099609	68.35693359	0.1312255859	-0.09155273438	0.8880615234
0.204	-223.3886719	187.9882813	739.7460938	-70.86181641	-67.74902344	2.9296875	2.624511719	68.37890625	0.3601074219	-0.1251220703	0.9063720703
0.206	-228.2714844	188.5986328	738.5253906	-70.67871094	-66.28417969	6.042480469	2.655029297	68.36791992	0.5493164063	-0.1617431641	0.8850097656
0.208	-228.2714844	183.1054688	731.2011719	-69.39697266	-64.63623047	7.873535156	2.655029297	68.37890625	0.6530761719	-0.06713867188	0.7843017578
0.21	-224.609375	186.7675781	723.8769531	-68.48144531	-63.17138672	8.239746094	2.655029297	68.36791992	0.7141113281	-0.03967285156	0.7537841797
0.212	-222.1679688	195.3125	716.5527344	-68.48144531	-61.70654297	7.507324219	2.655029297	68.30200195	0.7720947266	-0.07629394531	0.9002685547
0.214	-211.1816406	195.9228516	708.0078125	-68.66455078	-60.79101563	6.408691406	2.593994141	68.24707031	0.8575439453	-0.0732421875	1.080322266
0.216	-196.5332031	194.0917969	704.3457031	-68.84765625	-60.24169922	4.577636719	2.990722656	68.17016602	0.7934570313	-0.02746582031	1.156616211
0.218	-184.3261719	194.7021484	704.3457031	-69.21386719	-59.87548828	1.281738281	1.007080078	68.08227539	0.5096435547	-0.08544921875	1.141357422
0.22	-173.3398438	193.4814453	708.0078125	-69.76318359	-60.05859375	-1.831054688	-3.051757813	68.01635742	0.2044677734	-0.1434326172	1.055908203
0.222	-162.3535156	193.4814453	710.4492188	-70.67871094	-60.60791016	-4.028320313	-2.990722656	67.95043945	0.01525878906	-0.2227783203	0.9948730469
0.224	-144.0429688	185.546875	709.2285156	-71.41113281	-61.5234375	-5.126953125	-2.9296875	67.93945313	-0.1312255859	-0.2105712891	1.028442383
0.226	-119.6289063	174.5605469	710.4492188	-71.41113281	-62.80517578	-5.310058594	-2.960205078	67.88452148	-0.3234863281	-0.05187988281	1.062011719
0.228	-103.7597656	171.5087891	708.0078125	-71.22802734	-63.90380859	-5.676269531	-2.960205078	67.84057617	-0.5981445313	0.05493164063	1.040649414
0.23	-92.7734375	171.5087891	704.3457031	-70.3125	-65.00244141	-6.042480469	-2.960205078	67.87353516	-0.7995605469	0.1220703125	0.9857177734
