"Time","RR_Fx","RR_Fy","RR_Fz","RR_Mx","RR_My","RR_Mz","RR_Wheel,Speed","RR_Position","RR_Ax","RR_Ay","RR_Az"
0.164,-166.015625,231.3232422,694.5800781,-83.67919922,-83.67919922,-6.591796875,-4.852294922,132.2753906,-0.3967285156,-0.03356933594,1.278686523
0.166,-183.1054688,231.3232422,699.4628906,-83.67919922,-83.31298828,-7.690429688,-4.852294922,132.3413086,-0.2319335938,-0.09460449219,1.071166992
0.168,-201.4160156,225.2197266,708.0078125,-83.31298828,-82.94677734,-8.056640625,-4.852294922,132.4072266,-0.08239746094,-0.06103515625,0.8666992188
0.17,-224.609375,217.8955078,715.3320313,-82.76367188,-82.21435547,-7.32421875,-4.852294922,132.4731445,0.01220703125,0.06103515625,0.8148193359
0.172,-242.9199219,227.6611328,722.65625,-82.76367188,-81.66503906,-5.676269531,-4.852294922,132.5280762,0.02136230469,-0.003051757813,0.8911132813
0.174,-255.1269531,242.3095703,726.3183594,-82.03125,-81.29882813,-3.662109375,-4.852294922,132.5390625,0.0244140625,-0.1556396484,0.8972167969
0.176,-258.7890625,249.6337891,720.2148438,-80.20019531,-80.93261719,-1.281738281,-4.852294922,132.5280762,0.1892089844,-0.1739501953,0.8026123047
0.178,-262.4511719,250.8544922,715.3320313,-78.18603516,-80.56640625,0.5493164063,-4.852294922,132.5280762,0.3936767578,-0.07934570313,0.7141113281
0.18,-266.1132813,254.5166016,715.3320313,-78.18603516,-80.56640625,2.014160156,-4.852294922,132.5390625,0.5981445313,-0.05798339844,0.8087158203
0.182,-264.8925781,260.0097656,716.5527344,-78.91845703,-80.56640625,2.746582031,-4.852294922,132.5280762,0.7171630859,-0.1098632813,1.031494141
0.184,-255.1269531,264.8925781,716.5527344,-79.46777344,-80.93261719,3.112792969,-4.852294922,132.4621582,0.7080078125,-0.2288818359,1.095581055
0.186,-249.0234375,261.2304688,715.3320313,-80.01708984,-81.48193359,2.9296875,-4.852294922,132.4182129,0.6164550781,-0.2777099609,0.9857177734
0.188,-244.140625,249.6337891,717.7734375,-80.93261719,-81.84814453,1.831054688,-4.852294922,132.3632813,0.4852294922,-0.2075195313,0.8972167969
0.19,-233.1542969,237.4267578,722.65625,-82.58056641,-82.39746094,1.098632813,-4.852294922,132.3083496,0.3631591797,-0.06408691406,0.9674072266
0.192,-218.5058594,233.1542969,723.8769531,-84.41162109,-83.31298828,-0.1831054688,-4.852294922,132.2644043,0.1739501953,-0.04577636719,1.141357422
0.194,-207.5195313,233.1542969,721.4355469,-84.9609375,-83.86230469,-2.563476563,-4.852294922,132.2753906,-0.09765625,-0.08544921875,1.202392578
0.196,-194.0917969,225.8300781,715.3320313,-84.22851563,-84.22851563,-4.943847656,-4.852294922,132.253418,-0.3723144531,0.009155273438,1.092529297
0.198,-181.8847656,222.7783203,708.0078125,-83.31298828,-84.41162109,-7.141113281,-4.852294922,132.1765137,-0.4699707031,0.1220703125,1.025390625
0.2,-175.78125,225.8300781,701.9042969,-83.86230469,-84.59472656,-8.422851563,-4.852294922,132.2094727,-0.4425048828,0.1495361328,1.187133789
0.202,-175.78125,235.5957031,697.0214844,-84.59472656,-84.41162109,-9.155273438,-4.852294922,132.2753906,-0.3967285156,0.048828125,1.403808594
0.204,-177.0019531,243.5302734,698.2421875,-85.32714844,-84.22851563,-8.605957031,-4.852294922,132.2644043,-0.3448486328,-0.0732421875,1.458740234
0.206,-180.6640625,249.0234375,705.5664063,-85.32714844,-83.67919922,-7.690429688,-4.852294922,132.3193359,-0.3204345703,-0.1434326172,1.24206543
0.208,-192.8710938,245.9716797,711.6699219,-84.22851563,-82.94677734,-6.591796875,-4.852294922,132.3962402,-0.2532958984,-0.1220703125,0.9704589844
0.21,-207.5195313,238.0371094,717.7734375,-84.04541016,-82.21435547,-4.028320313,-4.852294922,132.4401855,-0.09765625,-0.02746582031,0.8544921875
0.212,-218.5058594,240.4785156,723.8769531,-84.41162109,-81.29882813,-1.281738281,-4.852294922,132.5061035,0.1068115234,0,0.9063720703
0.214,-229.4921875,247.1923828,727.5390625,-84.41162109,-80.38330078,0.5493164063,-4.852294922,132.5390625,0.2838134766,-0.0732421875,0.9460449219
0.216,-236.8164063,252.0751953,726.3183594,-83.49609375,-79.46777344,2.014160156,-4.852294922,132.5280762,0.3234863281,-0.1007080078,0.78125
0.218,-245.3613281,255.7373047,720.2148438,-82.58056641,-78.55224609,2.380371094,-4.852294922,132.5390625,0.3692626953,-0.08544921875,0.6652832031
0.22,-250.2441406,261.2304688,717.7734375,-82.76367188,-78.18603516,2.197265625,-4.852294922,132.5280762,0.4791259766,-0.1068115234,0.7476806641
0.222,-253.90625,259.3994141,714.1113281,-83.49609375,-78.00292969,1.46484375,-4.852294922,132.5390625,0.6072998047,-0.05187988281,0.9735107422
0.224,-253.90625,256.9580078,709.2285156,-84.22851563,-78.00292969,0.732421875,-4.852294922,132.5061035,0.6774902344,-0.0244140625,1.123046875
0.226,-250.2441406,259.3994141,709.2285156,-84.9609375,-78.18603516,-0.3662109375,-4.852294922,132.4511719,0.6011962891,-0.09460449219,1.092529297
0.228,-250.2441406,261.2304688,715.3320313,-85.69335938,-78.55224609,-1.831054688,-4.852294922,132.3962402,0.4028320313,-0.1770019531,0.9460449219
0.23,-242.9199219,258.1787109,718.9941406,-86.42578125,-79.1015625,-2.380371094,-4.852294922,132.3522949,0.2471923828,-0.2044677734,0.8972167969
0.232,-228.2714844,250.8544922,718.9941406,-86.97509766,-80.01708984,-2.014160156,-4.852294922,132.2973633,0.1251220703,-0.1159667969,0.927734375
0.234,-209.9609375,250.8544922,714.1113281,-87.70751953,-80.93261719,-2.014160156,-4.852294922,132.2644043,0.048828125,-0.1007080078,1.065063477
0.236,-192.8710938,250.2441406,708.0078125,-86.97509766,-81.66503906,-2.563476563,-4.852294922,132.2753906,-0.1403808594,-0.03051757813,1.113891602
0.238,-174.5605469,245.9716797,700.6835938,-85.69335938,-82.39746094,-2.563476563,-4.852294922,132.2753906,-0.3295898438,0.06408691406,1.071166992
0.24,-150.1464844,244.7509766,694.5800781,-85.87646484,-82.76367188,-2.014160156,-4.852294922,132.2753906,-0.3875732422,0.1586914063,1.107788086
0.242,-134.2773438,248.4130859,694.5800781,-86.79199219,-82.94677734,-2.563476563,-4.852294922,132.2753906,-0.4302978516,0.09155273438,1.220703125
0.244,-145.2636719,245.3613281,697.0214844,-88.43994141,-82.76367188,-4.211425781,-4.852294922,132.2644043,-0.4241943359,0.05798339844,1.327514648
