"Time","RR_Fx","RR_Fy","RR_Fz","RR_Mx","RR_My","RR_Mz","RR_Wheel,Speed","RR_Position","RR_Ax","RR_Ay","RR_Az"
0.324,-203.8574219,227.0507813,710.4492188,-82.03125,-62.62207031,0.732421875,0,241.7431641,0.3845214844,-0.1312255859,0.9826660156
0.326,-189.2089844,223.9990234,706.7871094,-80.20019531,-62.43896484,2.746582031,0,241.6882324,0.5889892578,0.02136230469,0.9063720703
0.328,-175.78125,228.8818359,706.7871094,-79.46777344,-62.43896484,3.845214844,0,241.6552734,0.6622314453,0.06103515625,0.8850097656
0.33,-166.015625,241.6992188,709.2285156,-80.01708984,-62.80517578,3.479003906,0,241.5563965,0.5462646484,-0.1129150391,0.9582519531
0.332,-162.3535156,242.9199219,709.2285156,-80.56640625,-63.17138672,2.197265625,0,241.4794922,0.4089355469,-0.2777099609,1.049804688
0.334,-159.9121094,230.1025391,706.7871094,-81.48193359,-64.08691406,1.281738281,0,241.4245605,0.4058837891,-0.1770019531,1.055908203
0.336,-155.0292969,215.4541016,710.4492188,-83.12988281,-65.00244141,0.1831054688,0,241.4355469,0.4089355469,-0.05493164063,1.019287109
0.338,-146.484375,205.6884766,716.5527344,-84.77783203,-65.73486328,-0.732421875,0,241.4355469,0.2563476563,0.01525878906,0.9979248047
0.34,-133.0566406,204.4677734,717.7734375,-85.87646484,-66.65039063,-2.014160156,0,241.4355469,-0.1220703125,-0.02746582031,1.016235352
0.342,-119.6289063,202.6367188,714.1113281,-86.05957031,-67.01660156,-3.662109375,0,241.4245605,-0.5187988281,-0.03051757813,1.043701172
0.344,-111.0839844,200.1953125,706.7871094,-85.32714844,-67.3828125,-5.493164063,0,241.4245605,-0.6652832031,0.0244140625,1.083374023
0.346,-108.6425781,195.9228516,698.2421875,-84.22851563,-67.19970703,-6.408691406,0,241.4904785,-0.5187988281,0.146484375,1.135253906
0.348,-108.6425781,198.9746094,692.1386719,-84.22851563,-67.01660156,-6.774902344,0,241.5234375,-0.2502441406,0.2258300781,1.214599609
0.35,-115.9667969,211.7919922,692.1386719,-84.41162109,-66.65039063,-7.32421875,0,241.5783691,-0.1159667969,0.09155273438,1.300048828
0.352,-128.1738281,217.8955078,692.1386719,-84.04541016,-65.91796875,-6.591796875,0,241.6552734,-0.1068115234,0,1.24206543
0.354,-139.1601563,220.9472656,695.8007813,-83.67919922,-65.55175781,-4.577636719,0,241.7102051,-0.1068115234,-0.07629394531,1.092529297
0.356,-152.5878906,215.4541016,701.9042969,-83.31298828,-64.81933594,-2.380371094,0,241.7651367,-0.006103515625,-0.04272460938,0.9765625
0.358,-169.6777344,211.7919922,708.0078125,-83.12988281,-64.08691406,-0.1831054688,0,241.7871094,0.1800537109,0.009155273438,0.9246826172
0.36,-183.1054688,213.0126953,711.6699219,-83.12988281,-63.35449219,1.831054688,0,241.776123,0.3631591797,-0.006103515625,0.8636474609
0.362,-189.2089844,216.6748047,715.3320313,-82.94677734,-62.43896484,3.112792969,0,241.7871094,0.48828125,-0.05187988281,0.7537841797
0.364,-190.4296875,219.7265625,714.1113281,-81.84814453,-61.70654297,3.479003906,0,241.7871094,0.5126953125,-0.06103515625,0.6561279297
0.366,-186.7675781,221.5576172,708.0078125,-80.93261719,-61.5234375,3.112792969,0,241.7211914,0.5126953125,-0.01831054688,0.6530761719
0.368,-181.8847656,223.3886719,701.9042969,-80.74951172,-61.34033203,2.563476563,0,241.6882324,0.5706787109,-0.009155273438,0.7843017578
0.37,-175.78125,222.1679688,694.5800781,-81.48193359,-61.5234375,1.281738281,0,241.6113281,0.5950927734,0.03967285156,1.034545898
0.372,-168.4570313,227.6611328,693.359375,-82.21435547,-61.88964844,0,0,241.5344238,0.5035400391,-0.048828125,1.141357422
0.374,-162.3535156,225.8300781,693.359375,-82.39746094,-62.80517578,-1.46484375,0,241.4575195,0.2899169922,-0.1373291016,1.049804688
